Shift (m), Intensity (a.u.)
-1.388770338757001944e-06,1.930753097892251085e-08
-1.388370232061883094e-06,1.929813329846800820e-08
-1.387970125366764456e-06,1.928868363698608400e-08
-1.387570018671645818e-06,1.927910684422768414e-08
-1.387169911976527180e-06,1.926949881500623641e-08
-1.386769805281408330e-06,1.925981899233216174e-08
-1.386369698586289692e-06,1.925006533896034214e-08
-1.385969591891171054e-06,1.924030118270601479e-08
-1.385569485196052204e-06,1.923065681358534148e-08
-1.385169378500933566e-06,1.922109491480064278e-08
-1.384769271805814928e-06,1.921159876340328778e-08
-1.384369165110696290e-06,1.920194852246885979e-08
-1.383969058415577441e-06,1.919215817616154301e-08
-1.383568951720458803e-06,1.918264003972772608e-08
-1.383168845025340165e-06,1.917295928048602282e-08
-1.382768738330221315e-06,1.916344656260980944e-08
-1.382368631635102677e-06,1.915393084712501726e-08
-1.381968524939984039e-06,1.914463794412917488e-08
-1.381568418244865401e-06,1.913546052538037463e-08
-1.381168311549746551e-06,1.912628654425467133e-08
-1.380768204854627913e-06,1.911714279896411932e-08
-1.380368098159509275e-06,1.910811967907622310e-08
-1.379967991464390425e-06,1.909908686715324756e-08
-1.379567884769271787e-06,1.909017990082825957e-08
-1.379167778074153149e-06,1.908125731471626595e-08
-1.378767671379034511e-06,1.907246863290663854e-08
-1.378367564683915662e-06,1.906367262250190938e-08
-1.377967457988797024e-06,1.905503510788251888e-08
-1.377567351293678386e-06,1.904630073048654766e-08
-1.377167244598559536e-06,1.903757357014178541e-08
-1.376767137903440898e-06,1.902869865271207898e-08
-1.376367031208322260e-06,1.902007672100709923e-08
-1.375966924513203622e-06,1.901168891612452967e-08
-1.375566817818084772e-06,1.900334992282531995e-08
-1.375166711122966134e-06,1.899491524970214481e-08
-1.374766604427847496e-06,1.898640605083339768e-08
-1.374366497732728646e-06,1.897821813283524012e-08
-1.373966391037610008e-06,1.897055395308481544e-08
-1.373566284342491370e-06,1.896296334104840348e-08
-1.373166177647372732e-06,1.895555130757287693e-08
-1.372766070952253882e-06,1.894828023019342774e-08
-1.372365964257135244e-06,1.894092528104412561e-08
-1.371965857562016606e-06,1.893376218939885622e-08
-1.371565750866897757e-06,1.892697459408648896e-08
-1.371165644171779119e-06,1.892048266900687920e-08
-1.370765537476660481e-06,1.891418609417062124e-08
-1.370365430781541843e-06,1.890800606812564720e-08
-1.369965324086422993e-06,1.890204472905465496e-08
-1.369565217391304355e-06,1.889628993985299350e-08
-1.369165110696185717e-06,1.889069395591095765e-08
-1.368765004001066867e-06,1.888529522861414756e-08
-1.368364897305948229e-06,1.888012122740704463e-08
-1.367964790610829591e-06,1.887501172423267033e-08
-1.367564683915710953e-06,1.886998355404957860e-08
-1.367164577220592103e-06,1.886509992606855822e-08
-1.366764470525473465e-06,1.886027983798922386e-08
-1.366364363830354827e-06,1.885547512553222332e-08
-1.365964257135235978e-06,1.885062917034884284e-08
-1.365564150440117340e-06,1.884568460334226713e-08
-1.365164043744998702e-06,1.884074942062101639e-08
-1.364763937049880064e-06,1.883585347132613017e-08
-1.364363830354761214e-06,1.883096308366686037e-08
-1.363963723659642576e-06,1.882623453101462052e-08
-1.363563616964523938e-06,1.882156350467333840e-08
-1.363163510269405088e-06,1.881663263813268977e-08
-1.362763403574286450e-06,1.881185286214779933e-08
-1.362363296879167812e-06,1.880722757921015271e-08
-1.361963190184049174e-06,1.880281830182608029e-08
-1.361563083488930324e-06,1.879857361641722387e-08
-1.361162976793811686e-06,1.879434704427219284e-08
-1.360762870098693048e-06,1.879023821980117325e-08
-1.360362763403574410e-06,1.878609955765918763e-08
-1.359962656708455560e-06,1.878200273176605318e-08
